
useNpcStore.ts:207 NPC miner movendo de [39, 10] para [39, 11]
useNpcStore.ts:207 NPC miner movendo de [39, 11] para [39, 10]
useNpcStore.ts:207 NPC miner movendo de [39, 10] para [39, 11]
useNpcStore.ts:207 NPC miner movendo de [39, 11] para [39, 10]
useNpcStore.ts:207 NPC miner movendo de [39, 10] para [39, 11]
useNpcStore.ts:207 NPC miner movendo de [39, 11] para [39, 10]
useNpcStore.ts:207 NPC miner movendo de [39, 10] para [39, 11]
useNpcStore.ts:207 NPC miner movendo de [39, 11] para [39, 10]
useNpcStore.ts:207 NPC miner movendo de [39, 10] para [39, 11]
useNpcStore.ts:207 NPC miner movendo de [39, 11] para [39, 10]
useNpcStore.ts:207 NPC miner movendo de [39, 10] para [39, 11]
useNpcStore.ts:207 NPC miner movendo de [39, 11] para [39, 10]
useNpcStore.ts:207 NPC miner movendo de [39, 10] para [39, 11]
useNpcStore.ts:207 NPC miner movendo de [39, 11] para [39, 10]
useNpcStore.ts:207 NPC miner movendo de [39, 10] para [39, 11]
useNpcStore.ts:207 NPC miner movendo de [39, 11] para [39, 10]
useNpcStore.ts:207 NPC miner movendo de [39, 10] para [39, 11]
useNpcStore.ts:207 NPC miner movendo de [39, 11] para [39, 10]
useNpcStore.ts:207 NPC miner movendo de [39, 10] para [39, 11]
useNpcStore.ts:207 NPC miner movendo de [39, 11] para [39, 10]
useNpcStore.ts:207 NPC miner movendo de [39, 10] para [39, 11]
useNpcStore.ts:207 NPC miner movendo de [39, 11] para [39, 10]
useNpcStore.ts:207 NPC miner movendo de [39, 10] para [39, 11]
useNpcStore.ts:207 NPC miner movendo de [39, 11] para [39, 10]
useNpcStore.ts:207 NPC miner movendo de [39, 10] para [39, 11]
useNpcStore.ts:207 NPC miner movendo de [39, 11] para [39, 10]
useNpcStore.ts:207 NPC miner movendo de [39, 10] para [39, 11]
 NPC miner movendo de [39, 11] para [39, 10]
 NPC miner movendo de [39, 10] para [39, 11]
 NPC miner movendo de [39, 11] para [39, 10]
 NPC miner movendo de [39, 10] para [39, 11]
 NPC miner movendo de [39, 11] para [39, 10]
 NPC miner movendo de [39, 10] para [39, 11]
 NPC miner movendo de [39, 11] para [39, 10]
 NPC miner movendo de [39, 10] para [39, 11]
 NPC miner movendo de [39, 11] para [39, 10]
 NPC miner movendo de [39, 10] para [39, 11]
 NPC miner movendo de [39, 11] para [39, 10]
 NPC miner movendo de [39, 10] para [39, 11]
 NPC miner movendo de [39, 11] para [39, 10]
 NPC miner movendo de [39, 10] para [39, 11]
 NPC miner movendo de [39, 11] para [39, 10]
 NPC miner movendo de [39, 10] para [39, 11]
 NPC miner movendo de [39, 11] para [39, 10]
 NPC miner movendo de [39, 10] para [39, 11]
 NPC miner movendo de [39, 11] para [39, 10]
 NPC miner movendo de [39, 10] para [39, 11]
 NPC miner movendo de [39, 11] para [39, 10]
 NPC miner movendo de [39, 10] para [39, 11]
 NPC miner movendo de [39, 11] para [39, 10]
 NPC miner movendo de [39, 10] para [39, 11]
 NPC miner movendo de [39, 11] para [39, 10]
 NPC miner movendo de [39, 10] para [39, 11]
 NPC miner movendo de [39, 11] para [39, 10]
 NPC miner movendo de [39, 10] para [39, 11]
 NPC miner movendo de [39, 11] para [39, 10]
 NPC miner movendo de [39, 10] para [39, 11]
 NPC miner movendo de [39, 11] para [39, 10]
 NPC miner movendo de [39, 10] para [39, 11]
 NPC miner movendo de [39, 11] para [39, 10]
 NPC miner movendo de [39, 10] para [39, 11]
 NPC miner movendo de [39, 11] para [39, 10]
 NPC miner movendo de [39, 10] para [39, 11]
 NPC miner movendo de [39, 11] para [39, 10]
 NPC miner movendo de [39, 10] para [39, 11]
 NPC miner movendo de [39, 11] para [39, 10]
 NPC miner movendo de [39, 10] para [39, 11]
 NPC miner movendo de [39, 11] para [39, 10]
 NPC miner movendo de [39, 10] para [39, 11]
 NPC miner movendo de [39, 11] para [39, 10]
 NPC miner movendo de [39, 10] para [39, 11]
 NPC miner movendo de [39, 11] para [39, 10]
 NPC miner movendo de [39, 10] para [39, 11]
 NPC miner movendo de [39, 11] para [39, 10]
 NPC miner movendo de [39, 10] para [39, 11]
 NPC miner movendo de [39, 11] para [39, 10]
 NPC miner movendo de [39, 10] para [39, 11]
 NPC miner movendo de [39, 11] para [39, 10]
 NPC miner movendo de [39, 10] para [39, 11]
 NPC miner movendo de [39, 11] para [39, 10]
 NPC miner movendo de [39, 10] para [39, 11]
 NPC miner movendo de [39, 11] para [39, 10]
 NPC miner movendo de [39, 10] para [39, 11]
